"filename", "language", "C++", "YAML", "C", "Markdown", "Makefile", "comment", "blank", "total"
"/Users/andykwak/Documents/nD-Language/IRComp/IR.h", "C++", 16, 0, 0, 0, 0, 9, 15, 40
"/Users/andykwak/Documents/nD-Language/IRComp/IRComp.c", "C", 0, 0, 9, 0, 0, 8, 16, 33
"/Users/andykwak/Documents/nD-Language/IRComp/IRComp.h", "C++", 11, 0, 0, 0, 0, 7, 13, 31
"/Users/andykwak/Documents/nD-Language/JIT/JIT.h", "C++", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/andykwak/Documents/nD-Language/Makefile", "Makefile", 0, 0, 0, 0, 12, 0, 3, 15
"/Users/andykwak/Documents/nD-Language/README.md", "Markdown", 0, 0, 0, 12, 0, 0, 7, 19
"/Users/andykwak/Documents/nD-Language/main.c", "C", 0, 0, 54, 0, 0, 12, 27, 93
"/Users/andykwak/Documents/nD-Language/ndc.dSYM/Contents/Resources/Relocations/aarch64/ndc.yml", "YAML", 0, 5, 0, 0, 0, 0, 1, 6
"/Users/andykwak/Documents/nD-Language/ndc_ast_print.dSYM/Contents/Resources/Relocations/aarch64/ndc_ast_print.yml", "YAML", 0, 5, 0, 0, 0, 0, 1, 6
"/Users/andykwak/Documents/nD-Language/ndc_ast_print2.dSYM/Contents/Resources/Relocations/aarch64/ndc_ast_print2.yml", "YAML", 0, 5, 0, 0, 0, 0, 1, 6
"/Users/andykwak/Documents/nD-Language/parser/ast.c", "C", 0, 0, 306, 0, 0, 21, 78, 405
"/Users/andykwak/Documents/nD-Language/parser/ast.h", "C++", 190, 0, 0, 0, 0, 47, 92, 329
"/Users/andykwak/Documents/nD-Language/parser/ast_util.c", "C", 0, 0, 239, 0, 0, 7, 42, 288
"/Users/andykwak/Documents/nD-Language/parser/ast_util.h", "C++", 7, 0, 0, 0, 0, 7, 14, 28
"/Users/andykwak/Documents/nD-Language/parser/parser.c", "C", 0, 0, 612, 0, 0, 82, 135, 829
"/Users/andykwak/Documents/nD-Language/parser/parser.h", "C++", 11, 0, 0, 0, 0, 6, 10, 27
"/Users/andykwak/Documents/nD-Language/tokenizer/fake_stream.h", "C++", 8, 0, 0, 0, 0, 7, 10, 25
"/Users/andykwak/Documents/nD-Language/tokenizer/real_stream.h", "C++", 16, 0, 0, 0, 0, 7, 11, 34
"/Users/andykwak/Documents/nD-Language/tokenizer/token.h", "C++", 56, 0, 0, 0, 0, 11, 27, 94
"/Users/andykwak/Documents/nD-Language/tokenizer/token_utils.c", "C", 0, 0, 101, 0, 0, 21, 18, 140
"/Users/andykwak/Documents/nD-Language/tokenizer/token_utils.h", "C++", 9, 0, 0, 0, 0, 9, 14, 32
"/Users/andykwak/Documents/nD-Language/tokenizer/tokenize.c", "C", 0, 0, 324, 0, 0, 75, 56, 455
"/Users/andykwak/Documents/nD-Language/tokenizer/tokenize.h", "C++", 19, 0, 0, 0, 0, 8, 16, 43
"/Users/andykwak/Documents/nD-Language/utils.c", "C", 0, 0, 205, 0, 0, 3, 11, 219
"/Users/andykwak/Documents/nD-Language/utils.h", "C++", 13, 0, 0, 0, 0, 0, 5, 18
"Total", "-", 356, 15, 1850, 12, 12, 347, 624, 3216
